filename,sheet,name,model,Product Type,Class,Sub Class,Product Code,Description,UPC Code,Price Policy,Policy Price,MSRP,Cost,Master Pk Qty,Reason Code,Reason Code Description,Effective Date,Unnamed: 14,Unnamed: 16,Policy,Unnamed: 12,Part Number,Brand,Product Category,Ultra Buying Group,Dealer Pricing,Notes,Former RTI Part Number,Pro Buying Group,Product code,Collection,US Dealer Price,US List/MAP Price,RTI Account Number
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON PixiePlus Projector Controller,ELPSP10,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,ELPSP10,EPSON PixiePlus Projector Controller,10343880801.0,MAP,390.0,416.0,312.0,,,,,,,,,,,,,,,,,,,,,
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON Programming Wand (PXE-PGM-Tool),ELPSP12,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,ELPSP12,EPSON Programming Wand (PXE-PGM-Tool),10343880825.0,MAP,241.0,207.0,194.0,,,,,,,,,,,,,,,,,,,,,
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON Soft Carrying Case PowerLite 1970-1985 (ELPKS68),V12H001K68,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,V12H001K68,EPSON Soft Carrying Case PowerLite 1970-1985 (ELPKS68),10343913790.0,MAP,45.0,79.0,35.0,16.0,,,,,,,,,,,,,,,,,,,,
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON Soft Travel Case for PowerLite 2042 2142W 2247U,V12H001K70,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,V12H001K70,EPSON Soft Travel Case for PowerLite 2042 2142W 2247U,10343937451.0,MAP,28.0,50.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON Soft Carrying Case (ELPKS71),V12H001K71,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,V12H001K71,EPSON Soft Carrying Case (ELPKS71),10343957084.0,MAP,55.0,125.0,40.0,5.0,,,,,,,,,,,,,,,,,,,,
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON DC-30 Carrying Case ELPKS72,V12H001K72,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,V12H001K72,EPSON DC-30 Carrying Case ELPKS72,10343979659.0,MAP,44.0,81.0,40.0,5.0,,,,,,,,,,,,,,,,,,,,
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON Cable Cover PowerLite PC7100/PC7500UB Black,V12H003001,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,V12H003001,EPSON Cable Cover PowerLite PC7100/PC7500UB Black,10343872707.0,,,56.0,40.0,4.0,,,,,,,,,,,,,,,,,,,,
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON Safety Wire Projector Accessory / PowerLite S39 X39 W39 107 108 109W 970 975W 980W 99U 1200 series 1700 series 2000 series PowerLite L,V12H003W01,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,V12H003W01,EPSON Safety Wire Projector Accessory / PowerLite S39 X39 W39 107 108 109W 970 975W 980W 99U 1200 series 1700 series 2000 series PowerLite L,10343948389.0,MAP,17.0,32.0,14.0,10.0,,,,,,,,,,,,,,,,,,,,
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON Wireless Lan Module for the BrightLink 1485FI Projector,V12H005A02,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,V12H005A02,EPSON Wireless Lan Module for the BrightLink 1485FI Projector,10343950528.0,MAP,134.0,304.0,99.0,10.0,,,,,,,,,,,,,,,,,,,,
file-P1ycMEhnW1Zj2N3crRi4p8-HE-FUL-DEALER-US-2025-07-01T13_02_27Z.xlsx,All Prices,EPSON 100 Whiteboard for Projection in 16:9 /BrightLink 735Fi/1480Fi/1485Fi,V12H006A02,ACCESSORIES,PROJ - CMRCL ACCY,ACCESSORIES - BP,V12H006A02,EPSON 100 Whiteboard for Projection in 16:9 /BrightLink 735Fi/1480Fi/1485Fi,10343953185.0,MAP,987.0,1819.0,792.0,,,,,,,,,,,,,,,,,,,,,
